candidate_store_id,store_name,brand,admin_dong,road_address,jibun_address,longitude,latitude,candidate_public_facility_direction,store_context_exploration_score,score_transit_access,score_public_health_need,score_worker_flow_need,score_site_feasibility_pool,nearest_subway_station_name,nearest_subway_station_distance_m,subway_station_count_500m,subway_station_count_800m,nearest_medical_name,nearest_medical_distance_m,medical_count_500m,medical_count_800m,other_convenience_count_250m,other_convenience_count_500m,nearest_other_convenience_distance_m,nearest_magok_business_axis_name,nearest_magok_business_axis_distance_m,nearest_gimpo_airport_axis_name,nearest_gimpo_airport_axis_distance_m,resident_population,households,avg_household_size,share_20_39_pct,share_60_plus_pct,inbound_to_candidate,outbound_from_candidate,candidate_internal_or_between,final_score,final_rank,source_store_id,sido,sigungu,legal_dong,address,biz_l1,biz_l2,biz_l3,ksic_name,is_known_chain_brand,other_convenience_count_100m,other_convenience_count_800m,medical_count_300m,medical_count_1000m,subway_station_count_300m,subway_station_count_1000m,magok_business_axis_count_500m,magok_business_axis_count_1000m,magok_business_axis_count_1500m,magok_business_axis_count_2000m,gimpo_airport_axis_count_500m,gimpo_airport_axis_count_1000m,gimpo_airport_axis_count_1500m,gimpo_airport_axis_count_2000m
GS_CONV_0398,세븐일레븐S,세븐일레븐,가양1동,서울특별시 강서구 공항대로 267,서울특별시 강서구 마곡동 727-1496,126.837305567326,37.5590285388509,청년·직장인 생활지원/쉼터형 공공시설,0.7000653730676597,0.584733489775394,0.37777777777777777,0.9083106492392591,0.929439575478208,발산(5호선),57.6,1,1,바른마음한의원마곡발산점,43.8,136,176,20,43,65.3,발산(5호선),57.6,김포공항(서해선),2942.0,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA0101202406A0391103,서울특별시,강서구,마곡동,서울특별시 강서구 공항대로 267,소매,종합 소매,편의점,섬유; 의복; 신발 및 가죽제품 중개업,True,2,69,111,235,1,1,1,1,4,4,0,0,0,0
GS_CONV_0176,지에스25발산파크점,GS25,가양1동,서울특별시 강서구 공항대로 261,서울특별시 강서구 마곡동 797-4,126.836513043521,37.5591535835773,청년·직장인 생활지원/쉼터형 공공시설,0.69376994366619,0.562054978209856,0.36944444444444446,0.9048350101530851,0.9387453418573747,발산(5호선),119.1,1,1,휴먼피부과의원,0.7,133,171,19,44,61.3,발산(5호선),119.1,김포공항(서해선),2871.1,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220803070773,서울특별시,강서구,마곡동,서울특별시 강서구 공항대로 261,소매,종합 소매,편의점,체인화 편의점,True,3,71,113,245,1,2,1,2,4,4,0,0,0,0
GS_CONV_0241,지에스25마곡,GS25,가양1동,서울특별시 강서구 공항대로 269-15,서울특별시 강서구 마곡동 797-14,126.837247704328,37.5596141065745,청년·직장인 생활지원/쉼터형 공공시설,0.688593522080245,0.5621287294669797,0.3666666666666667,0.90304646594709,0.9225322262402439,발산(5호선),118.9,1,1,생명마루한의원,0.4,132,175,18,42,62.2,발산(5호선),118.9,김포공항(서해선),2931.0,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220800057342,서울특별시,강서구,마곡동,서울특별시 강서구 공항대로 269-15,소매,종합 소매,편의점,체인화 편의점,True,5,70,114,235,1,1,1,1,4,4,0,0,0,0
GS_CONV_0156,GS25마곡파크뷰점,GS25,가양1동,서울특별시 강서구 마곡중앙6로 85,서울특별시 강서구 마곡동 795-5,126.836884155961,37.5602443020844,청년·직장인 생활지원/쉼터형 공공시설,0.6847708611746586,0.5338082467314784,0.36111111111111116,0.8971425168353655,0.9470215700206793,발산(5호선),195.7,1,1,리네아의원,72.7,130,174,16,44,36.8,발산(5호선),195.7,김포공항(서해선),2894.3,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220806579959,서울특별시,강서구,마곡동,서울특별시 강서구 마곡중앙6로 85,소매,종합 소매,편의점,체인화 편의점,True,5,73,100,238,1,2,1,1,4,4,0,0,0,0
GS_CONV_0131,세븐마곡에스비점,세븐일레븐,가양1동,서울특별시 강서구 강서로 385,서울특별시 강서구 마곡동 794-1,126.838299258447,37.5600840693644,청년·직장인 생활지원/쉼터형 공공시설,0.6847103063276732,0.5416627556151525,0.3583333333333334,0.8953014247441037,0.9435437116181032,발산(5호선),174.4,1,1,미앤미의원,1.0,129,181,20,42,0.0,발산(5호선),174.4,김포공항(서해선),3019.8,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220813128983,서울특별시,강서구,마곡동,서울특별시 강서구 강서로 385,소매,종합 소매,편의점,체인화 편의점,True,3,70,104,216,1,2,1,1,4,4,0,0,0,0
GS_CONV_0194,세븐일레븐마곡에스비점,세븐일레븐,가양1동,서울특별시 강서구 강서로 385,서울특별시 강서구 마곡동 794-1,126.838299258447,37.5600840693644,청년·직장인 생활지원/쉼터형 공공시설,0.6847103063276732,0.5416627556151525,0.3583333333333334,0.8953014247441037,0.9435437116181032,발산(5호선),174.4,1,1,미앤미의원,1.0,129,181,20,42,0.0,발산(5호선),174.4,김포공항(서해선),3019.8,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220803347316,서울특별시,강서구,마곡동,서울특별시 강서구 강서로 385,소매,종합 소매,편의점,체인화 편의점,True,3,70,104,216,1,2,1,1,4,4,0,0,0,0
GS_CONV_0391,이마트24마곡골든점,이마트24,가양1동,서울특별시 강서구 마곡중앙6로 89,서울특별시 강서구 마곡동 795-6,126.837291761266,37.5601727848312,청년·직장인 생활지원/쉼터형 공공시설,0.6845211856112802,0.5402614817298023,0.36111111111111116,0.8976451250380734,0.9390670245661339,발산(5호선),178.2,1,1,리네아의원,36.0,130,175,18,43,36.8,발산(5호선),178.2,김포공항(서해선),2930.6,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA0101202406A0306222,서울특별시,강서구,마곡동,서울특별시 강서구 마곡중앙6로 89,소매,종합 소매,편의점,체인화 편의점,True,6,72,105,236,1,2,1,1,4,4,0,0,0,0
GS_CONV_0277,GS25마곡루체점,GS25,가양1동,서울특별시 강서구 마곡동로4길 23,서울특별시 강서구 마곡동 797-12,126.836206376803,37.5596487063899,청년·직장인 생활지원/쉼터형 공공시설,0.6836359158066699,0.5418471337579619,0.36111111111111116,0.9007946219547777,0.9307907964028291,발산(5호선),173.9,1,1,연세유앤아이치과의원,0.9,130,168,17,43,61.3,발산(5호선),173.9,김포공항(서해선),2839.2,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220810209522,서울특별시,강서구,마곡동,서울특별시 강서구 마곡동로4길 23,소매,종합 소매,편의점,체인화 편의점,True,5,72,109,244,1,2,1,2,4,4,0,0,0,0
GS_CONV_0333,씨유마곡필굿점,CU,가양1동,서울특별시 강서구 마곡중앙8로 86,서울특별시 강서구 마곡동 795-1,126.836928603278,37.5606227817754,청년·직장인 생활지원/쉼터형 공공시설,0.6778532359554027,0.5195373784780423,0.36111111111111116,0.8935553584376777,0.9372090957947797,발산(5호선),234.4,1,1,두팔로정형외과의원,56.1,130,167,19,43,42.3,발산(5호선),234.4,김포공항(서해선),2896.1,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA0101202210A0011623,서울특별시,강서구,마곡동,서울특별시 강서구 마곡중앙8로 86,소매,종합 소매,편의점,체인화 편의점,True,3,72,88,235,1,2,1,1,4,4,0,0,0,0
GS_CONV_0192,지에스25발산,GS25,가양1동,서울특별시 강서구 마곡중앙8로 90,서울특별시 강서구 마곡동 795-2,126.837596486922,37.5605696425996,청년·직장인 생활지원/쉼터형 공공시설,0.6736786777013275,0.5251055983908817,0.3583333333333334,0.8931511433682658,0.9181246357128291,발산(5호선),219.3,1,1,리네아의원,49.1,129,178,20,41,51.7,발산(5호선),219.3,김포공항(서해선),2955.2,,,,,,32189.755,18221.3075,12016.621875,63.7138403340396,2.0,MA010120220804864018,서울특별시,강서구,마곡동,서울특별시 강서구 마곡중앙8로 90,소매,종합 소매,편의점,체인화 편의점,True,5,72,95,213,1,2,1,1,4,4,0,0,0,0
