admin_dong,zone,store_count,brand_count,share_of_gangseo_pct,ratio_vs_gangseo_admin_avg
가양1동,마곡핵심권,73,5,13.93,2.79
화곡1동,기타 강서구,50,6,9.54,1.91
공항동,공항연계권,42,5,8.02,1.6
발산1동,마곡핵심권,35,5,6.68,1.34
화곡본동,기타 강서구,31,4,5.92,1.18
방화1동,공항연계권,31,5,5.92,1.18
방화2동,기타 강서구,30,6,5.73,1.15
등촌3동,기타 강서구,29,4,5.53,1.11
등촌1동,기타 강서구,28,5,5.34,1.07
화곡6동,기타 강서구,27,4,5.15,1.03
염창동,기타 강서구,26,5,4.96,0.99
우장산동,기타 강서구,20,4,3.82,0.76
화곡4동,기타 강서구,17,5,3.24,0.65
화곡3동,기타 강서구,14,5,2.67,0.53
방화3동,기타 강서구,14,6,2.67,0.53
등촌2동,기타 강서구,14,6,2.67,0.53
화곡8동,기타 강서구,14,4,2.67,0.53
화곡2동,기타 강서구,12,4,2.29,0.46
가양3동,기타 강서구,10,5,1.91,0.38
가양2동,기타 강서구,7,5,1.34,0.27
