candidate_dong,direction,movement_population
가양1동,candidate_internal_or_between,12016.621875
가양1동,inbound_to_candidate,32189.755
가양1동,outbound_from_candidate,18221.3075
공항동,candidate_internal_or_between,8892.7505
공항동,inbound_to_candidate,20963.2595
공항동,outbound_from_candidate,14912.72535714286
등촌3동,candidate_internal_or_between,8047.224375
등촌3동,inbound_to_candidate,25008.09625
등촌3동,outbound_from_candidate,14037.753928571428
발산1동,candidate_internal_or_between,8676.1075
발산1동,inbound_to_candidate,21796.30875
발산1동,outbound_from_candidate,12452.342142857144
방화1동,candidate_internal_or_between,8619.419375
방화1동,inbound_to_candidate,17355.661875
방화1동,outbound_from_candidate,10298.245185185186
방화2동,candidate_internal_or_between,6155.79
방화2동,inbound_to_candidate,16147.4315
방화2동,outbound_from_candidate,11519.09037037037
방화3동,candidate_internal_or_between,4105.9887499999995
방화3동,inbound_to_candidate,8382.805625
방화3동,outbound_from_candidate,5650.990416666667
우장산동,candidate_internal_or_between,5394.36125
우장산동,inbound_to_candidate,13356.805625
우장산동,outbound_from_candidate,8045.507777777778
