연도,요일,공항,노선,도착운항기수,출발운항기수,도착여객수,출발여객수
2025,일,인천,국내선,228,221,26559,25713
2025,월,인천,국내선,232,213,29903,21277
2025,화,인천,국내선,219,212,20516,20653
2025,수,인천,국내선,243,222,27423,20675
2025,목,인천,국내선,236,220,21587,22760
2025,금,인천,국내선,234,219,26710,24124
2025,토,인천,국내선,221,214,22973,24432
2025,일,인천,국제선,20114,19990,3773675,3645978
2025,월,인천,국제선,19376,19256,3514726,3493788
2025,화,인천,국제선,19018,18862,3216540,3120310
2025,수,인천,국제선,19984,20647,3326952,3430196
2025,목,인천,국제선,20283,20004,3415572,3404943
2025,금,인천,국제선,20543,20517,3599962,3662756
2025,토,인천,국제선,20255,20426,3650261,3599880
2025,일,김포,국내선,4867,4852,872588,837402
2025,월,김포,국내선,4731,4692,829427,814495
2025,화,김포,국내선,4750,4716,818725,794448
2025,수,김포,국내선,4712,4827,815204,837342
2025,목,김포,국내선,4909,4917,850133,865950
2025,금,김포,국내선,4880,4840,868341,859450
2025,토,김포,국내선,4778,4871,830150,847800
2025,일,김포,국제선,1086,1087,217959,218201
2025,월,김포,국제선,1050,1051,205213,207976
2025,화,김포,국제선,1034,1034,192094,192196
2025,수,김포,국제선,1056,1055,196951,195876
2025,목,김포,국제선,1038,1041,203000,200735
2025,금,김포,국제선,1071,1068,215202,211551
2025,토,김포,국제선,1037,1039,205147,203248
2025,일,김해,국내선,1867,1869,299463,297050
2025,월,김해,국내선,1844,1911,288720,303567
2025,화,김해,국내선,1896,1942,285035,287373
2025,수,김해,국내선,1909,1787,286031,272038
2025,목,김해,국내선,1958,1984,307051,307953
2025,금,김해,국내선,1875,1934,301260,310172
2025,토,김해,국내선,2042,1970,317802,310858
2025,일,김해,국제선,2985,3020,525343,514986
2025,월,김해,국제선,2828,2666,488615,448437
2025,화,김해,국제선,2720,2683,452383,430996
2025,수,김해,국제선,2760,2962,453000,479657
2025,목,김해,국제선,2939,2880,482209,479894
2025,금,김해,국제선,2875,2821,482414,481996
2025,토,김해,국제선,2886,2974,495467,503519
2025,일,제주,국내선,7258,7286,1247433,1308892
2025,월,제주,국내선,7085,7072,1210472,1239551
2025,화,제주,국내선,6945,6938,1135759,1170818
2025,수,제주,국내선,7150,7188,1203699,1186804
2025,목,제주,국내선,7062,7044,1240364,1182224
2025,금,제주,국내선,7203,7198,1277826,1260727
2025,토,제주,국내선,7235,7239,1249816,1243851
2025,일,제주,국제선,970,941,157137,157895
2025,월,제주,국제선,856,887,140673,146390
2025,화,제주,국제선,849,856,138122,132794
2025,수,제주,국제선,960,919,155123,141899
2025,목,제주,국제선,777,785,129470,126267
2025,금,제주,국제선,924,946,153796,151034
2025,토,제주,국제선,835,841,139842,138453
