admin_dong_norm,industry_code,industry_name_ko,industry_name_en,establishments,workers
발산1동,,전 산업,Total,6937,36795
발산1동,A,"농업, 임업 및 어업","Agriculture, forestry and fishing",1,1
발산1동,C,제조업,Manufacturing,160,594
발산1동,D,"전기, 가스, 증기 및 공기조절 공급업","Electricity, gas, steam and air conditioning supply",3,7
발산1동,E,"수도, 하수 및 폐기물 처리, 원료 재생업","Water supply; sewage, waste management, materials recovery",11,102
발산1동,F,건설업,Construction,322,3565
발산1동,G,도매 및 소매업,Wholesale and retail trade,2100,6566
발산1동,H,운수 및 창고업,Transportation and storage,779,3839
발산1동,I,숙박 및 음식점업,Accommodation and food service activities,592,2199
발산1동,J,정보통신업,Information and communication,422,2482
발산1동,K,금융 및 보험업,Financial and insurance activities,92,1290
발산1동,L,부동산업,Real estate activities,363,804
발산1동,M,"전문, 과학 및 기술 서비스업","Professional, scientific and technical activities",600,3004
발산1동,N,"사업시설 관리, 사업 지원 및 임대 서비스업",Business facilities management and business support services; rental and leasing activities,222,2913
발산1동,O,"공공행정, 국방 및 사회보장 행정",Public administration and defence; compulsory social security,4,207
발산1동,P,교육 서비스업,Education,459,2565
발산1동,Q,보건업 및 사회복지 서비스업,Human health and social work activities,197,5122
발산1동,R,"예술, 스포츠 및 여가관련 서비스업","Arts, sports and recreation related services",118,364
발산1동,S,"협회 및 단체, 수리 및 기타 개인 서비스업","Membership organizations, repair and other personal services",492,1171
발산1동,,전 산업,Total,6937,36795
발산1동,A,"농업, 임업 및 어업","Agriculture, forestry and fishing",1,1
발산1동,01,농업,Agriculture,1,1
발산1동,011,작물 재배업,Growing of crops,1,1
발산1동,0111,곡물 및 기타 식량작물 재배업,Growing of cereal crops and other crops for food,1,1
발산1동,01110,곡물 및 기타 식량작물 재배업,Growing of cereal crops and other crops for food,1,1
가양1동,,전 산업,Total,10226,78453
가양1동,A,"농업, 임업 및 어업","Agriculture, forestry and fishing",0,0
가양1동,C,제조업,Manufacturing,292,2258
가양1동,D,"전기, 가스, 증기 및 공기조절 공급업","Electricity, gas, steam and air conditioning supply",5,42
가양1동,E,"수도, 하수 및 폐기물 처리, 원료 재생업","Water supply; sewage, waste management, materials recovery",13,305
가양1동,F,건설업,Construction,346,4410
가양1동,G,도매 및 소매업,Wholesale and retail trade,2323,10427
가양1동,H,운수 및 창고업,Transportation and storage,1675,5256
