기업명,업종,분야,기업규모,주소
롯데웰푸드㈜,바이오,"제과, HMR, 유지, 육가공",대,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소
롯데칠성음료㈜,바이오,식품 외,대,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소
롯데쇼핑㈜,연구개발,"패키징, 디자인 등",대,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소
롯데케미칼㈜,바이오,화학제품 원료 외,대,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소
롯데정밀화학㈜,바이오,석탄화합계 화합물 및 기초유기화학물질,대,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소
㈜오토닉스,정보기술,"센서, 제어기기",중소,서울특별시 강서구 마곡중앙5로1길 39
㈜피앤피시큐어,정보기술,보안솔루션,중소,서울특별시 강서구 마곡서로 182
㈜로보티즈,정보기술,로봇 플랫폼 H/W 및 S/W,중소,서울특별시 강서구 마곡중앙5로1길 37
㈜에스에스뉴테크,연구개발,"기술 시험, 검사",중소,서울특별시 강서구 마곡중앙로 175-16
지텍㈜,정보기술,"디스플레이, 전기/전장 베터리 검사장비",중소,서울특별시 강서구 마곡중앙로 175-16
넥센타이어㈜,연구개발,자동차용 타이어,대,서울특별시 강서구 양천로30길 27
㈜넥센,바이오,고무 및 종합물류 서비스,대,서울특별시 강서구 마곡중앙로 177 넥센유니버시티
오스템글로벌㈜,바이오,디지털 이미지 테크 기기,중소,서울특별시 강서구 마곡동 762
㈜잉카인터넷,정보기술,온라인PC 보안솔루션,중소,서울특별시 강서구 마곡중앙14로 53
㈜대웅제약,바이오,우루사 등,중견,서울특별시 강남구 봉은사로 114길 12(대웅제약) 본관 8층
대상㈜,연구개발,식품 및 전분 외,대,서울특별시 강서구 마곡동 762-4
㈜셀리드,바이오,바이오 신약,중소,서울특별시 강서구 마곡동 762-3
㈜제넥신,연구개발,바이오 신약,중소,서울특별시 강서구 마곡중앙로 172
㈜프로젠,바이오,바이오 신약,중소,서울특별시 강서구 마곡동 762-3
㈜한독,바이오,단백질 치료제 합성신약,대,서울특별시 강서구 마곡중앙로 168
