period,year,admin_region,admin_dong_norm,resident_population,households,male_population,female_population,pop_20_39,pop_60_plus,pop_70_plus,is_candidate,avg_household_size,share_20_39_pct,share_60_plus_pct
201912,2019,서울특별시 강서구 (1150000000),서울특별시강서구(1150000000),591796,262708,,,190496,127547,53967,False,2.2526759748465977,32.189470695983076,21.552528236081354
201912,2019,서울특별시 강서구 염창동(1150051000),염창동,42455,15720,,,13153,6407,2433,False,2.7006997455470736,30.98103874690849,15.091273112707574
201912,2019,서울특별시 강서구 등촌제1동(1150052000),등촌1동,23496,12155,,,10161,3968,1856,False,1.9330316742081448,43.24565883554647,16.887980932924755
201912,2019,서울특별시 강서구 등촌제2동(1150053000),등촌2동,21736,8704,,,7089,4599,1800,False,2.4972426470588234,32.614096429885905,21.158446816341552
201912,2019,서울특별시 강서구 등촌제3동(1150053500),등촌3동,32310,14768,,,9088,9025,4115,True,2.1878385698808236,28.12751470133086,27.93252862890746
201912,2019,서울특별시 강서구 화곡제1동(1150054000),화곡1동,53420,26415,,,20191,11758,4903,False,2.0223357940564073,37.79670535380008,22.01048296518158
201912,2019,서울특별시 강서구 화곡제2동(1150055000),화곡2동,19163,8214,,,5839,4118,1713,False,2.3329681032383736,30.47017690340761,21.48932839325784
201912,2019,서울특별시 강서구 화곡제3동(1150056000),화곡3동,22536,9456,,,6770,5780,2378,False,2.383248730964467,30.040823571175007,25.647852325168618
201912,2019,서울특별시 강서구 화곡제4동(1150057000),화곡4동,21674,9643,,,6649,5297,2237,False,2.247640775692212,30.67730921841838,24.439420503829474
201912,2019,서울특별시 강서구 화곡본동(1150059000),화곡본동,35485,16515,,,12402,6929,2853,False,2.148652739933394,34.94997886430886,19.526560518528957
201912,2019,서울특별시 강서구 화곡제6동(1150059100),화곡제6동,24900,11690,,,8167,5672,2189,False,2.130025662959795,32.799196787148595,22.779116465863453
201912,2019,서울특별시 강서구 화곡제8동(1150059300),화곡제8동,25996,11684,,,8542,6032,2598,False,2.2249229715850736,32.858901369441455,23.20356977996615
201912,2019,서울특별시 강서구 가양제1동(1150060300),가양1동,33806,19130,,,16247,4713,1745,True,1.7671719811813904,48.05951606223747,13.941312193101815
201912,2019,서울특별시 강서구 가양제2동(1150060400),가양2동,15052,8076,,,4494,5462,2339,False,1.8637939574046558,29.856497475418546,36.28753653999468
