shortlist_basis,shortlist_program_component_score,candidate_store_id,source_store_id,store_name,brand,admin_dong,road_address,jibun_address,longitude,latitude,recommended_public_facility_program,recommended_program_score,component_young_worker,component_health_dolbom,component_airport_mobility_support,component_general_life_admin,store_context_exploration_score,nearest_subway_station_name,nearest_subway_station_distance_m,subway_station_count_500m,subway_station_count_800m,nearest_medical_name,nearest_medical_distance_m,medical_count_500m,medical_count_800m,other_convenience_count_250m,other_convenience_count_500m,nearest_other_convenience_distance_m,nearest_magok_business_axis_name,nearest_magok_business_axis_distance_m,nearest_gimpo_airport_axis_name,nearest_gimpo_airport_axis_distance_m,resident_population,households,share_20_39_pct,share_60_plus_pct,share_20_39_pct_2030_projection,share_60_plus_pct_2030_projection,inbound_to_candidate,outbound_from_candidate,candidate_internal_or_between,evidence_summary,overall_program_rank
공항권 이동노동자·외국인 생활지원형 공공시설,0.7982280477078021,GS_CONV_0141,MA010120220809954565,GS25마곡,GS25,가양1동,서울특별시 강서구 마곡중앙로 76,서울특별시 강서구 마곡동 773,126.827501108791,37.5604111652286,청년·직장인 생활지원형 공공시설,0.9089058616027808,0.9089058616027808,0.29602557074297875,0.7982280477078021,0.7248644921440364,0.6559201432401114,마곡(5호선),182.7,1,3,딱경희한의원,1.9,76,122,7,33,62.9,마곡(5호선),182.7,김포공항(서해선),2067.7,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 마곡(5호선) 182.7m, 500m 병의원 76개, 500m 내 편의점 33개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",7
공항권 이동노동자·외국인 생활지원형 공공시설,0.7963369538053557,GS_CONV_0256,MA010120220806679384,지에스25S9,GS25,공항동,서울특별시 강서구 방화동로 30,서울특별시 강서구 공항동 산 20-2,126.810493420523,37.5635475852734,공항권 이동노동자·외국인 생활지원형 공공시설,0.7963369538053557,0.5720802922534095,0.36544727656529385,0.7963369538053557,0.5558306170322169,0.6366347751905531,공항시장(9호선),25.7,2,7,좋은치과의원,36.4,45,67,4,20,123.3,마곡(5호선),1370.2,김포공항(서해선),599.8,28496.0,13739.0,27.89163391353172,23.880544637843908,23.5916929161217,26.07299453192354,20963.2595,14912.72535714286,8892.7505,"가장 가까운 지하철 공항시장(9호선) 25.7m, 500m 병의원 45개, 500m 내 편의점 20개, 행정동 유입 생활이동 평균 20963명, 20~39세 비중 27.9%, 60세 이상 비중 23.9%",49
공항권 이동노동자·외국인 생활지원형 공공시설,0.7856205382495961,GS_CONV_0050,MA010120220808448698,씨유마곡,CU,가양1동,서울특별시 강서구 마곡중앙6로 10,서울특별시 강서구 마곡동 773-1,126.828214207087,37.5603851750565,청년·직장인 생활지원형 공공시설,0.9005442598217734,0.9005442598217734,0.2921878592350793,0.7856205382495961,0.719747543466837,0.6482921240624493,마곡(5호선),244.9,1,3,포레스트치과의원,0.6,76,124,7,33,62.9,마곡(5호선),244.9,김포공항(서해선),2130.6,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 마곡(5호선) 244.9m, 500m 병의원 76개, 500m 내 편의점 33개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",10
공항권 이동노동자·외국인 생활지원형 공공시설,0.7847964975741675,GS_CONV_0233,MA010120220808368900,지에스25S9점,GS25,가양1동,서울특별시 강서구 마곡중앙5로 2,서울특별시 강서구 마곡동 760-3,126.827520356864,37.5667902403508,청년·직장인 생활지원형 공공시설,0.8968750626768762,0.8968750626768762,0.25476157668441607,0.7847964975741675,0.687227988281441,0.6154944713404819,마곡나루(9호선),18.6,2,3,강서채움치과의원,58.3,39,71,7,18,101.1,마곡나루(9호선),18.6,김포공항(서해선),2140.5,33302.0,21037.0,48.57966488499189,17.881808900366345,49.38739832162998,20.514332587825947,32189.755,18221.3075,12016.621875,"가장 가까운 지하철 마곡나루(9호선) 18.6m, 500m 병의원 39개, 500m 내 편의점 18개, 행정동 유입 생활이동 평균 32190명, 20~39세 비중 48.6%, 60세 이상 비중 17.9%",12
공항권 이동노동자·외국인 생활지원형 공공시설,0.7843572046563433,GS_CONV_0195,MA010120220800484610,씨유뉴공항１호점,CU,공항동,서울특별시 강서구 송정로 70,서울특별시 강서구 공항동 53-15,126.809968019149,37.5609608842042,공항권 이동노동자·외국인 생활지원형 공공시설,0.7843572046563433,0.5664847152522245,0.3518529198920832,0.7843572046563433,0.5534876364174312,0.6301472180025958,송정(5호선),178.5,2,7,송정치과의원,23.4,42,47,9,23,86.9,마곡(5호선),1367.2,김포공항(서해선),523.7,28496.0,13739.0,27.89163391353172,23.880544637843908,23.5916929161217,26.07299453192354,20963.2595,14912.72535714286,8892.7505,"가장 가까운 지하철 송정(5호선) 178.5m, 500m 병의원 42개, 500m 내 편의점 23개, 행정동 유입 생활이동 평균 20963명, 20~39세 비중 27.9%, 60세 이상 비중 23.9%",52
생활건강·돌봄 상담형 공공시설,0.71131677625087,GS_CONV_0199,MA010120220806751979,지에스25S9가양역점,GS25,가양2동,서울특별시 강서구 양천로 485,서울특별시 강서구 가양동 14-61,126.854390628535,37.5615556146655,생활건강·돌봄 상담형 공공시설,0.71131677625087,0.31285020881103404,0.71131677625087,0.3913956645038938,0.19856591375633986,0.3838001001409902,가양(9호선),19.2,1,1,가양삼성정형외과의원,54.7,80,139,5,18,177.1,발산(5호선),1510.3,김포공항(서해선),4432.8,12849.0,7901.0,25.01361973694451,47.9336913378473,21.8710198186493,56.08055004008338,,,,"가장 가까운 지하철 가양(9호선) 19.2m, 500m 병의원 80개, 500m 내 편의점 18개, 행정동 유입 생활이동 평균 nan명, 20~39세 비중 25.0%, 60세 이상 비중 47.9%",75
생활건강·돌봄 상담형 공공시설,0.6936194000394712,GS_CONV_0019,MA010120220800868128,이마트24가양역점,이마트24,가양2동,서울특별시 강서구 양천로57길 10-11,서울특별시 강서구 가양동 1480-1,126.852938725956,37.5631665976334,생활건강·돌봄 상담형 공공시설,0.6936194000394712,0.29172608354145135,0.6936194000394712,0.358426234937363,0.17029769496942426,0.3692488450844313,가양(9호선),238.5,1,1,예나산부인과의원,44.7,77,123,9,15,45.2,발산(5호선),1438.7,김포공항(서해선),4307.9,12849.0,7901.0,25.01361973694451,47.9336913378473,21.8710198186493,56.08055004008338,,,,"가장 가까운 지하철 가양(9호선) 238.5m, 500m 병의원 77개, 500m 내 편의점 15개, 행정동 유입 생활이동 평균 nan명, 20~39세 비중 25.0%, 60세 이상 비중 47.9%",78
생활건강·돌봄 상담형 공공시설,0.6917067142397142,GS_CONV_0347,MA0101202306A0091974,편의누리,기타/미분류,가양2동,서울특별시 강서구 양천로 461,서울특별시 강서구 가양동 1480-8,126.852225893961,37.5630485781322,생활건강·돌봄 상담형 공공시설,0.6917067142397142,0.29930126853950867,0.6917067142397142,0.3639571014736574,0.17797471996368772,0.3744416122881346,가양(9호선),269.5,1,1,가양한의원,0.4,77,125,8,18,43.3,발산(5호선),1375.3,김포공항(서해선),4244.6,12849.0,7901.0,25.01361973694451,47.9336913378473,21.8710198186493,56.08055004008338,,,,"가장 가까운 지하철 가양(9호선) 269.5m, 500m 병의원 77개, 500m 내 편의점 18개, 행정동 유입 생활이동 평균 nan명, 20~39세 비중 25.0%, 60세 이상 비중 47.9%",81
생활건강·돌봄 상담형 공공시설,0.691058869049474,GS_CONV_0465,MA0101202412A0033825,세븐일레븐가양역점,세븐일레븐,가양2동,서울특별시 강서구 양천로57길 16,서울특별시 강서구 가양동 1480,126.852496897214,37.5633732754666,생활건강·돌봄 상담형 공공시설,0.691058869049474,0.29431289582794257,0.691058869049474,0.35878109628069443,0.1737018354676098,0.3704840204808924,가양(9호선),280.0,1,1,박종오내과의원,0.7,77,122,8,17,43.3,발산(5호선),1410.8,김포공항(서해선),4269.9,12849.0,7901.0,25.01361973694451,47.9336913378473,21.8710198186493,56.08055004008338,,,,"가장 가까운 지하철 가양(9호선) 280.0m, 500m 병의원 77개, 500m 내 편의점 17개, 행정동 유입 생활이동 평균 nan명, 20~39세 비중 25.0%, 60세 이상 비중 47.9%",82
생활건강·돌봄 상담형 공공시설,0.6746529748547816,GS_CONV_0489,MA0101202505A0077564,세븐일레븐발,세븐일레븐,등촌3동,서울특별시 강서구 강서로 378,서울특별시 강서구 등촌동 674-1,126.838844307398,37.5592558981978,공항권 이동노동자·외국인 생활지원형 공공시설,0.6761390173619881,0.6488388365915061,0.6746529748547816,0.6761390173619881,0.5465743120661579,0.6071764668551084,발산(5호선),126.9,1,1,도현한의원,24.0,126,182,20,42,0.0,발산(5호선),126.9,김포공항(서해선),3074.6,28464.0,15042.0,26.12071388420461,38.13940415964025,24.464095060193813,45.22998565867874,25008.09625,14037.753928571428,8047.224375,"가장 가까운 지하철 발산(5호선) 126.9m, 500m 병의원 126개, 500m 내 편의점 42개, 행정동 유입 생활이동 평균 25008명, 20~39세 비중 26.1%, 60세 이상 비중 38.1%",94
