year,gimpo_passenger_total,gimpo_domestic_passenger,gimpo_international_passenger,kac_airports_passenger_total,kac_airports_domestic_passenger,kac_airports_international_passenger,gimpo_share_of_kac_airports_total_pct,gimpo_domestic_ratio_pct,gimpo_international_ratio_pct
2016,25043088,20801363,4241725,136285050,62789944,73495106,18.375521012759656,83.06229247766889,16.93770752233111
2017,25101147,21068467,4032680,143331106,65825150,77505956,17.512700278751772,83.9342799753334,16.065720024666604
2018,24602588,20312292,4290296,150517417,64053848,86463569,16.34534294459757,82.5616069333844,17.438393066615593
2019,25448416,21176127,4272289,157673444,66773122,90900322,16.13995061844403,83.21196494115783,16.78803505884217
2020,17446239,16902376,543863,65027063,50711368,14315695,26.829197252842253,96.88263470424772,3.117365295752282
2021,22525417,22510527,14890,70003126,66767480,3235646,32.17773017736379,99.93389689522729,0.06610310477271077
2022,24524065,24148389,375676,92839882,73231508,19608374,26.415441803340507,98.4681332397382,1.5318667602618081
2023,23424158,20208251,3215907,133588039,64965886,68622153,17.534622242639553,86.2709814371983,13.729018562801704
2024,22990599,19053510,3937089,152131118,62822250,89308868,15.112357880653976,82.87522217233226,17.124777827667735
2025,22962089,18524429,4437660,156044605,61069162,94975443,14.71508034513593,80.67397090917991,19.32602909082009
