file,exists,rows,cols,columns,sample_values,read_note
outputs/candidate_demographics_by_period.csv,True,16,15,period | year | admin_region | admin_dong_norm | resident_population | households | male_population | female_population | pop_20_39 | pop_60_plus | pop_70_plus | is_candidate | avg_household_size | share_20_39_pct | share_60_plus_pct,"[{""period"": ""201912"", ""year"": ""2019"", ""admin_region"": ""서울특별시 강서구 우장산동(1150061500)"", ""admin_dong_norm"": ""우장산동"", ""resident_population"": ""44578"", ""households"": ""16084"", ""male_population"": NaN, ""female_population"": NaN, ""pop_20_39"": ""11355"", ""pop_60_plus"": ""8076"", ""pop_70_plus"": ""3260"", ""is_candidate"": ""True"", ""avg_household_size"": ""2.77157423526486"", ""share_20_39_pct"": ""25.472206020907173"", ""share_60_plus_pct"": ""18.116559737987348""}, {""period"": ""201912"", ""year"": ""2019"", ""admin_region"": ""서울특별시 강서구 공항동(1150062000)"", ""admin_dong_norm"": ""공항동"", ""resident_population"": ""27372"", ""households"": ""12722"", ""male_population"": NaN, ""female_population"": NaN, ""pop_20_39"": ""9264"", ""pop_60_plus"": ""5502"", ""pop_70_plus"": ""2405"", ""is_candidate"": ""True"", ""avg_household_size"": ""2.151548498663732"", ""share_20_39_pct"": ""33.84480491012714"", ""share_60_plus_pct"": ""20.10083296799649""}, {""period"": ""202012"", ""year"": ""2020"", ""admin_region"": ""서울특별시 강서구 우장산동(1150061500)"", ""admin_dong_norm"": ""우장산동"", ""resident_population"": ""43778"", ""households"": ""16183"", ""male_population"": NaN, ""female_population"": NaN, ""pop_20_39"": ""10868"", ""pop_60_plus"": ""8425"", ""pop_70_plus"": ""3458"", ""is_candidate"": ""True"", ""avg_household_size"": ""2.7051844528208613"", ""share_20_39_pct"": ""24.825254694138607"", ""share_60_plus_pct"": ""19.24482616839509""}]",csv_preview:utf-8-sig
reanalysis/inputs/gangseo_demographics_by_dong_period.csv,True,168,15,period | year | admin_region | admin_dong_norm | resident_population | households | male_population | female_population | pop_20_39 | pop_60_plus | pop_70_plus | is_candidate | avg_household_size | share_20_39_pct | share_60_plus_pct,"[{""period"": ""201912"", ""year"": ""2019"", ""admin_region"": ""서울특별시 강서구 (1150000000)"", ""admin_dong_norm"": ""서울특별시강서구(1150000000)"", ""resident_population"": ""591796"", ""households"": ""262708"", ""male_population"": NaN, ""female_population"": NaN, ""pop_20_39"": ""190496"", ""pop_60_plus"": ""127547"", ""pop_70_plus"": ""53967"", ""is_candidate"": ""False"", ""avg_household_size"": ""2.2526759748465977"", ""share_20_39_pct"": ""32.18947069598308"", ""share_60_plus_pct"": ""21.552528236081358""}, {""period"": ""201912"", ""year"": ""2019"", ""admin_region"": ""서울특별시 강서구 염창동(1150051000)"", ""admin_dong_norm"": ""염창동"", ""resident_population"": ""42455"", ""households"": ""15720"", ""male_population"": NaN, ""female_population"": NaN, ""pop_20_39"": ""13153"", ""pop_60_plus"": ""6407"", ""pop_70_plus"": ""2433"", ""is_candidate"": ""False"", ""avg_household_size"": ""2.7006997455470736"", ""share_20_39_pct"": ""30.98103874690849"", ""share_60_plus_pct"": ""15.091273112707574""}, {""period"": ""201912"", ""year"": ""2019"", ""admin_region"": ""서울특별시 강서구 등촌제1동(1150052000)"", ""admin_dong_norm"": ""등촌1동"", ""resident_population"": ""23496"", ""households"": ""12155"", ""male_population"": NaN, ""female_population"": NaN, ""pop_20_39"": ""10161"", ""pop_60_plus"": ""3968"", ""pop_70_plus"": ""1856"", ""is_candidate"": ""False"", ""avg_household_size"": ""1.9330316742081448"", ""share_20_39_pct"": ""43.24565883554647"", ""share_60_plus_pct"": ""16.887980932924755""}]",csv_preview:utf-8-sig
outputs/candidate_living_movement_avg_daily_direction.csv,True,24,3,candidate_dong | direction | movement_population,"[{""candidate_dong"": ""가양1동"", ""direction"": ""candidate_internal_or_between"", ""movement_population"": ""12016.621875""}, {""candidate_dong"": ""가양1동"", ""direction"": ""inbound_to_candidate"", ""movement_population"": ""32189.755""}, {""candidate_dong"": ""가양1동"", ""direction"": ""outbound_from_candidate"", ""movement_population"": ""18221.3075""}]",csv_preview:utf-8-sig
expanded_inputs/candidate_living_movement_avg_daily_direction.csv,True,24,3,candidate_dong | direction | movement_population,"[{""candidate_dong"": ""가양1동"", ""direction"": ""candidate_internal_or_between"", ""movement_population"": ""12016.621875""}, {""candidate_dong"": ""가양1동"", ""direction"": ""inbound_to_candidate"", ""movement_population"": ""32189.755""}, {""candidate_dong"": ""가양1동"", ""direction"": ""outbound_from_candidate"", ""movement_population"": ""18221.3075""}]",csv_preview:utf-8-sig
expanded_inputs/kac_airport_transport_statistics_20250915.csv,True,56,8,연도 | 요일 | 공항 | 노선 | 도착운항기수 | 출발운항기수 | 도착여객수 | 출발여객수,"[{""연도"": ""2025"", ""요일"": ""일"", ""공항"": ""인천"", ""노선"": ""국내선"", ""도착운항기수"": ""228"", ""출발운항기수"": ""221"", ""도착여객수"": ""26559"", ""출발여객수"": ""25713""}, {""연도"": ""2025"", ""요일"": ""월"", ""공항"": ""인천"", ""노선"": ""국내선"", ""도착운항기수"": ""232"", ""출발운항기수"": ""213"", ""도착여객수"": ""29903"", ""출발여객수"": ""21277""}, {""연도"": ""2025"", ""요일"": ""화"", ""공항"": ""인천"", ""노선"": ""국내선"", ""도착운항기수"": ""219"", ""출발운항기수"": ""212"", ""도착여객수"": ""20516"", ""출발여객수"": ""20653""}]",csv_preview:cp949
expanded_inputs/magok_tenant_companies_20260213.xlsx::현행화,True,sheet_unknown,7,연번 | 기업명 | 업종 | 업종코드 | 분야 | 기업규모 | 주소,"[{""연번"": ""1"", ""기업명"": ""롯데웰푸드㈜"", ""업종"": ""바이오"", ""업종코드"": ""BT"", ""분야"": ""제과, HMR, 유지, 육가공"", ""기업규모"": ""대"", ""주소"": ""서울특별시 강서구 마곡중앙로 201 롯데중앙연구소""}, {""연번"": ""2"", ""기업명"": ""롯데칠성음료㈜"", ""업종"": ""바이오"", ""업종코드"": ""BT"", ""분야"": ""식품 외"", ""기업규모"": ""대"", ""주소"": ""서울특별시 강서구 마곡중앙로 201 롯데중앙연구소""}]",excel_preview
expanded_inputs/gangseo_business_report_2023_based_20250731.xlsx::1.산업대분류별 동별 총괄,True,sheet_unknown,81,"Unnamed: 0 | 단위: 개, 명 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unit: Each, Person | 1. 산업대분류별 동별 총괄    1. Summary Tables by Industrial Sections & Dong | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14 | Unnamed: 15 | Unnamed: 16 | Unnamed: 17 | Unnamed: 18 | Unnamed: 19 | Unnamed: 20 | Unnamed: 21 | Unnamed: 22 | Unnamed: 23 | Unnamed: 24 | Unnamed: 25 | Unnamed: 26 | Unnamed: 27 | Unnamed: 28 | Unnamed: 29 | Unnamed: 30 | Unnamed: 31 | Unnamed: 32 | Unnamed: 33 | Unnamed: 34 | Unnamed: 35 | Unnamed: 36 | Unnamed: 37 | Unnamed: 38 | Unnamed: 39 | Unnamed: 40 | Unnamed: 41 | Unnamed: 42 | Unnamed: 43 | Unnamed: 44 | Unnamed: 45 | Unnamed: 46 | Unnamed: 47 | Unnamed: 48 | Unnamed: 49 | Unnamed: 50 | Unnamed: 51 | Unnamed: 52 | Unnamed: 53 | Unnamed: 54 | Unnamed: 55 | Unnamed: 56 | Unnamed: 57 | Unnamed: 58 | Unnamed: 59 | Unnamed: 60 | Unnamed: 61 | Unnamed: 62 | Unnamed: 63 | Unnamed: 64 | Unnamed: 65 | Unnamed: 66 | Unnamed: 67 | Unnamed: 68 | Unnamed: 69 | Unnamed: 70 | Unnamed: 71 | Unnamed: 72 | Unnamed: 73 | Unnamed: 74 | Unnamed: 75 | Unnamed: 76 | Unnamed: 77 | Unnamed: 78 | Unnamed: 79","[{""Unnamed: 0"": NaN, ""단위: 개, 명"": ""동 Dong"", ""Unnamed: 2"": NaN, ""Unnamed: 3"": ""산업분류                                                                                Industrial Calassification"", ""Unnamed: 4"": NaN, ""Unit: Each, Person"": NaN, ""1. 산업대분류별 동별 총괄    1. Summary Tables by Industrial Sections & Dong"": ""합    계    Total"", ""Unnamed: 7"": NaN, ""Unnamed: 8"": NaN, ""Unnamed: 9"": NaN, ""Unnamed: 10"": ""조   직   형   태   별        Type of Legal Organizations"", ""Unnamed: 11"": NaN, ""Unnamed: 12"": NaN, ""Unnamed: 13"": NaN, ""Unnamed: 14"": NaN, ""Unnamed: 15"": NaN, ""Unnamed: 16"": NaN, ""Unnamed: 17"": NaN, ""Unnamed: 18"": ""사   업   체   구   분   별        Type of Establishments"", ""Unnamed: 19"": NaN, ""Unnamed: 20"": NaN, ""Unnamed: 21"": NaN, ""Unnamed: 22"": NaN, ""Unnamed: 23"": NaN, ""Unnamed: 24"": ""종   사   자   규   모   별        Scale of Establishments"", ""Unnamed: 25"": NaN, ""Unnamed: 26"": NaN, ""Unnamed: 27"": NaN, ""Unnamed: 28"": NaN, ""Unnamed: 29"": NaN, ""Unnamed: 30"": NaN, ""Unnamed: 31"": NaN, ""Unnamed: 32"": NaN, ""Unnamed: 33"": NaN, ""Unnamed: 34"": NaN, ""Unnamed: 35"": NaN, ""Unnamed: 36"": NaN, ""Unnamed: 37"": NaN, ""Unnamed: 38"": NaN, ""Unnamed: 39"": NaN, ""Unnamed: 40"": NaN, ""Unnamed: 41"": NaN, ""Unnamed: 42"": ""종사상지위  Status of Workers"", ""Unnamed: 43"": NaN, ""Unnamed: 44"": NaN, ""Unnamed: 45"": NaN, ""Unnamed: 46"": NaN, ""Unnamed: 47"": ""대표자 성별 및 연령대                                                      Sex and Age of Representatives"", ""Unnamed: 48"": NaN, ""Unnamed: 49"": NaN, ""Unnamed: 50"": NaN, ""Unnamed: 51"": NaN, ""Unnamed",excel_preview
expanded_inputs/gangseo_business_report_2023_based_20250731.xlsx::2.산업세세분류별 동별 현황,True,sheet_unknown,45,"단위: 개, 명 | Unnamed: 1 | Unit: Each, Person | 2. 산업세세분류별 동별 현황    2. Number of Establishments, Workers by Industrial Sub-classes & Dong | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14 | Unnamed: 15 | Unnamed: 16 | Unnamed: 17 | Unnamed: 18 | Unnamed: 19 | Unnamed: 20 | Unnamed: 21 | Unnamed: 22 | Unnamed: 23 | Unnamed: 24 | Unnamed: 25 | Unnamed: 26 | Unnamed: 27 | Unnamed: 28 | Unnamed: 29 | Unnamed: 30 | Unnamed: 31 | Unnamed: 32 | Unnamed: 33 | Unnamed: 34 | Unnamed: 35 | Unnamed: 36 | Unnamed: 37 | Unnamed: 38 | Unnamed: 39 | Unnamed: 40 | Unnamed: 41 | Unnamed: 42 | Unnamed: 43 | Unnamed: 44","[{""단위: 개, 명"": ""산업분류                                                                                Industrial Classification"", ""Unnamed: 1"": NaN, ""Unit: Each, Person"": NaN, ""2. 산업세세분류별 동별 현황    2. Number of Establishments, Workers by Industrial Sub-classes & Dong"": ""강서구"", ""Unnamed: 4"": NaN, ""Unnamed: 5"": ""염창동"", ""Unnamed: 6"": NaN, ""Unnamed: 7"": ""등촌1동"", ""Unnamed: 8"": NaN, ""Unnamed: 9"": ""등촌2동"", ""Unnamed: 10"": NaN, ""Unnamed: 11"": ""등촌3동"", ""Unnamed: 12"": NaN, ""Unnamed: 13"": ""화곡본동"", ""Unnamed: 14"": NaN, ""Unnamed: 15"": ""화곡1동"", ""Unnamed: 16"": NaN, ""Unnamed: 17"": ""화곡2동"", ""Unnamed: 18"": NaN, ""Unnamed: 19"": ""화곡3동"", ""Unnamed: 20"": NaN, ""Unnamed: 21"": ""화곡4동"", ""Unnamed: 22"": NaN, ""Unnamed: 23"": ""화곡6동"", ""Unnamed: 24"": NaN, ""Unnamed: 25"": ""화곡8동"", ""Unnamed: 26"": NaN, ""Unnamed: 27"": ""우장산동"", ""Unnamed: 28"": NaN, ""Unnamed: 29"": ""가양1동"", ""Unnamed: 30"": NaN, ""Unnamed: 31"": ""가양2동"", ""Unnamed: 32"": NaN, ""Unnamed: 33"": ""가양3동"", ""Unnamed: 34"": NaN, ""Unnamed: 35"": ""발산1동"", ""Unnamed: 36"": NaN, ""Unnamed: 37"": ""공항동"", ""Unnamed: 38"": NaN, ""Unnamed: 39"": ""방화1동"", ""Unnamed: 40"": NaN, ""Unnamed: 41"": ""방화2동"", ""Unnamed: 42"": NaN, ""Unnamed: 43"": ""방화3동"", ""Unnamed: 44"": NaN}, {""단위: 개, 명"": NaN, ""Unnamed: 1"": NaN, ""Unit: Each, Person"": NaN, ""2. 산업세세분류별 동별 현황    2. Number of Establishments, Workers by Industrial Sub-classes & Dong"": ""Gangseo-gu"", ""Unnamed: 4"": NaN, ""Unnamed: 5"": ""Yeomchang-dong"", ""Unnamed: 6"": NaN, ""Unnamed: 7"": ""Deungchon 1-dong"", ""Unnamed: 8"": NaN, ""Unnamed: 9"": ""Deungchon 2-dong"", ""Unnamed: 10"": NaN, ""Unnam",excel_preview
expanded_inputs/gangseo_business_report_2023_based_20250731.xlsx::3.산업세세분류별 총괄,True,sheet_unknown,39,"단위: 개, 명 | Unnamed: 1 | Unit: Each, Person | 3. 산업세세분류별 총괄    3. Summary Tables by Industrial Sub-classes | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14 | Unnamed: 15 | Unnamed: 16 | Unnamed: 17 | Unnamed: 18 | Unnamed: 19 | Unnamed: 20 | Unnamed: 21 | Unnamed: 22 | Unnamed: 23 | Unnamed: 24 | Unnamed: 25 | Unnamed: 26 | Unnamed: 27 | Unnamed: 28 | Unnamed: 29 | Unnamed: 30 | Unnamed: 31 | Unnamed: 32 | Unnamed: 33 | Unnamed: 34 | Unnamed: 35 | Unnamed: 36 | Unnamed: 37 | Unnamed: 38","[{""단위: 개, 명"": ""산업분류                                                                                Industrial Calassification"", ""Unnamed: 1"": NaN, ""Unit: Each, Person"": NaN, ""3. 산업세세분류별 총괄    3. Summary Tables by Industrial Sub-classes"": ""합    계    Total"", ""Unnamed: 4"": NaN, ""Unnamed: 5"": NaN, ""Unnamed: 6"": NaN, ""Unnamed: 7"": ""조   직   형   태   별        Type of Legal Organizations"", ""Unnamed: 8"": NaN, ""Unnamed: 9"": NaN, ""Unnamed: 10"": NaN, ""Unnamed: 11"": NaN, ""Unnamed: 12"": NaN, ""Unnamed: 13"": NaN, ""Unnamed: 14"": NaN, ""Unnamed: 15"": ""사   업   체   구   분   별        Type of Establishments"", ""Unnamed: 16"": NaN, ""Unnamed: 17"": NaN, ""Unnamed: 18"": NaN, ""Unnamed: 19"": NaN, ""Unnamed: 20"": NaN, ""Unnamed: 21"": ""종   사   자   규   모   별        Scale of Establishments"", ""Unnamed: 22"": NaN, ""Unnamed: 23"": NaN, ""Unnamed: 24"": NaN, ""Unnamed: 25"": NaN, ""Unnamed: 26"": NaN, ""Unnamed: 27"": NaN, ""Unnamed: 28"": NaN, ""Unnamed: 29"": NaN, ""Unnamed: 30"": NaN, ""Unnamed: 31"": NaN, ""Unnamed: 32"": NaN, ""Unnamed: 33"": NaN, ""Unnamed: 34"": NaN, ""Unnamed: 35"": NaN, ""Unnamed: 36"": NaN, ""Unnamed: 37"": NaN, ""Unnamed: 38"": NaN}, {""단위: 개, 명"": NaN, ""Unnamed: 1"": NaN, ""Unit: Each, Person"": NaN, ""3. 산업세세분류별 총괄    3. Summary Tables by Industrial Sub-classes"": ""사업체수 Establishments"", ""Unnamed: 4"": ""종사자수"", ""Unnamed: 5"": NaN, ""Unnamed: 6"": NaN, ""Unnamed: 7"": ""개    인"", ""Unnamed: 8"": NaN, ""Unnamed: 9"": ""회사법인"", ""Unnamed: 10"": NaN, ""Unnamed: 11"": ""회사이외법인"", ""Unnamed: 12"": NaN, ""Unnamed: 13"": ""비 법 인"", ""Unnamed: 14"": NaN, ""Unnamed: 1",excel_preview
expanded_inputs/gangseo_business_report_2023_based_20250731.xlsx::부록1.한국표준산업분류표,True,sheet_unknown,3,Unnamed: 0 | 부록1. 한국표준산업분류표    Appendix 1. Korean Standard Industrial Classification | Unnamed: 2,"[{""Unnamed: 0"": ""Code"", ""부록1. 한국표준산업분류표    Appendix 1. Korean Standard Industrial Classification"": ""산   업   분   류   명"", ""Unnamed: 2"": ""Industrial Classification""}, {""Unnamed: 0"": ""A"", ""부록1. 한국표준산업분류표    Appendix 1. Korean Standard Industrial Classification"": ""농업, 임업 및 어업 (01∼03)"", ""Unnamed: 2"": ""Agriculture, forestry and fishing""}]",excel_preview
