facility_name,facility_category,facility_use_code,road_address,jibun_address,longitude,latitude,data_reference_date
공암나루,기타시설,FU_BI,서울특별시 강서구 허준로5길 15,서울특별시 강서구 가양동 1459-9,126.85034,37.569897,2022-12-07 00:00:00.0
서울식물원,기타시설,FU_BI,,서울특별시 강서구 마곡동 812,126.832985,37.568172,2022-12-07 00:00:00.0
방화근린공원,공원·오픈스페이스,FU_BI,,서울특별시 강서구 방화동 855,126.81326,37.581966,2022-12-07 00:00:00.0
이마트 가양점,기타시설,FU_BA,서울특별시 강서구 양천로 559,서울특별시 강서구 가양동 449-19,126.862274,37.557953,2022-12-07 00:00:00.0
강서뉴타워,기타시설,FU_BA,서울특별시 강서구 화곡로18길 24,서울특별시 강서구 화곡동 1071-19,126.83542,37.539104,2022-12-07 00:00:00.0
우장근린공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 우장산로10길 25-19,서울특별시 강서구 화곡동 산 60-1,126.84458,37.554943,2022-12-07 00:00:00.0
봉제산,기타시설,FU_BI,,서울특별시 강서구 화곡동 산 5-6,126.8591,37.5398,2022-12-07 00:00:00.0
NC백화점 강서점,기타시설,FU_BA,서울특별시 강서구 강서로56길 17,서울특별시 강서구 등촌동 689,126.84035,37.559963,2022-12-07 00:00:00.0
㈜송춘스페이스,기타시설,FU_BA,서울특별시 강서구 공항대로71길 49,서울특별시 강서구 염창동 264-18,126.872826,37.549496,2022-12-07 00:00:00.0
롯데몰김포공항,기타시설,FU_BA,,서울특별시 강서구 방화동 886,126.803085,37.56327,2022-12-07 00:00:00.0
면력한방병원,의료,FU_BD,서울특별시 강서구 마곡중앙6로 93,서울특별시 강서구 마곡동 795-7,126.8377,37.560127,2022-12-07 00:00:00.0
우리들병원,의료,FU_BD,,서울특별시 강서구 과해동 676,126.79639,37.561935,2022-12-07 00:00:00.0
새빛요양병원,의료,FU_BD,서울특별시 강서구 화곡로61길 109,서울특별시 강서구 등촌동 664-11,126.84642,37.558327,2022-12-07 00:00:00.0
강서영어도서관,도서관·학습,FU_BB,서울특별시 강서구 곰달래로57가길 26,서울특별시 강서구 화곡동 809-3,126.86094,37.5346,2022-12-07 00:00:00.0
길꽃어린이도서관,도서관·학습,FU_BB,서울특별시 강서구 금낭화로24길 5,서울특별시 강서구 방화동 828,126.813675,37.578705,2022-12-07 00:00:00.0
서울특별시교육청강서도서관,도서관·학습,FU_BB,서울특별시 강서구 등촌로51나길 29,서울특별시 강서구 등촌동 520-6,126.85993,37.54787,2022-12-07 00:00:00.0
겸재정선미술관,문화·체육·커뮤니티,FU_BC,서울특별시 강서구 양천로47길 36,서울특별시 강서구 가양동 243-1,126.838394,37.572216,2022-12-07 00:00:00.0
가양도서관,도서관·학습,FU_BB,서울특별시 강서구 양천로61길 101,서울특별시 강서구 가양동 1493,126.864914,37.559574,2022-12-07 00:00:00.0
허준박물관,문화·체육·커뮤니티,FU_BC,서울특별시 강서구 허준로 87,서울특별시 강서구 가양동 26-5,126.850975,37.568024,2022-12-07 00:00:00.0
기생충박물관,문화·체육·커뮤니티,FU_BC,서울특별시 강서구 화곡로 335,서울특별시 강서구 화곡동 1097,126.850746,37.553623,2022-12-07 00:00:00.0
강서구청,행정·공공서비스,FU_BF,서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡동 980-16,126.84966,37.55088,2022-12-07 00:00:00.0
방화보건지소,행정·공공서비스,FU_BH,서울특별시 강서구 금낭화로 162,서울특별시 강서구 방화동 902,126.814,37.579563,2022-12-07 00:00:00.0
인소아과복합빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 285,서울특별시 강서구 내발산동 701-12,126.836006,37.551243,2022-12-07 00:00:00.0
메디스타워,기타시설,FU_BA,서울특별시 강서구 방화동로 37,서울특별시 강서구 방화동 614-3,126.81071,37.56419,2022-12-07 00:00:00.0
주영빌딩,기타시설,FU_BA,서울특별시 강서구 양천로 461,서울특별시 강서구 가양동 1480-8,126.85223,37.56305,2022-12-07 00:00:00.0
길훈엔트런스빌,기타시설,FU_BA,서울특별시 강서구 양천로 492,서울특별시 강서구 등촌동 78-7,126.854645,37.56088,2022-12-07 00:00:00.0
등촌동노블리움오피스텔,기타시설,FU_BA,서울특별시 강서구 양천로 500,서울특별시 강서구 등촌동 628,126.85557,37.560547,2022-12-07 00:00:00.0
현대프린스텔,기타시설,FU_BA,서울특별시 강서구 양천로 510,서울특별시 강서구 등촌동 628-13,126.85635,37.56012,2022-12-07 00:00:00.0
등촌동두산위브센티움,기타시설,FU_BA,서울특별시 강서구 양천로 564,서울특별시 강서구 등촌동 631-1,126.86141,37.557194,2022-12-07 00:00:00.0
화수빌딩,기타시설,FU_BA,서울특별시 강서구 화곡로 166,서울특별시 강서구 화곡동 1075-1,126.84009,37.541306,2022-12-07 00:00:00.0
